code,name,description,category,url,public-database
MS-COA,,,MS,https://gov-id-finder.codeforiati.org/countries/MS/,False
MT-COA,,,MT,https://gov-id-finder.codeforiati.org/countries/MT/,False
MU-COA,,,MU,https://gov-id-finder.codeforiati.org/countries/MU/,False
MU-CR,,,MU,http://companies.govmu.org/,True
MV-COA,,,MV,https://gov-id-finder.codeforiati.org/countries/MV/,False
MW-CNM,,,MW,http://www.congoma.mw,False
MW-COA,,,MW,https://gov-id-finder.codeforiati.org/countries/MW/,True
MW-MRA,,,MW,http://www.mra.mw/,False
MW-NBM,,,MW,http://ngoboardmalawi.mw/directory.php,False
MW-RG,,,MW,https://www.registrargeneral.gov.mw/index.html,False
MX-CMX_CPA,,,MX,https://datos.cdmx.gob.mx/dataset/entes-publicos-de-la-ciudad-de-mexico,True
MX-COA,,,MX,https://gov-id-finder.codeforiati.org/countries/MX/,False
MX-CPA,,,MX,http://www.transparenciapresupuestaria.gob.mx/work/models/PTP/DatosAbiertos/Metadatos/catalogos_presupuestarios.xlsx,True
MX-RFC,,,MX,https://portalsat.plataforma.sat.gob.mx/ConsultaRFC/,False
MY-COA,,,MY,https://gov-id-finder.codeforiati.org/countries/MY/,False
MY-SSM,,,MY,http://www.ssm.com.my/ms,True
MZ-COA,,,MZ,https://gov-id-finder.codeforiati.org/countries/MZ/,True
MZ-CR,,,MZ,http://www.portaldogoverno.gov.mz/Empresas/Registos/Registo-de-Sociedades,False
MZ-MOJ,,,MZ,http://www.commonwealthofnations.org/sectors-mozambique/civil_society/,False
MZ-NUIT,,,MZ,http://www.at.gov.mz/eng/Internacional-Trade/FAQ-s/NUIT,False
NA-COA,,,NA,https://gov-id-finder.codeforiati.org/countries/NA/,False
NA-NAMRA,,,NA,https://www.namra.org.na/,False
NC-COA,,,NC,https://gov-id-finder.codeforiati.org/countries/NC/,False
NE-COA,,,NE,https://gov-id-finder.codeforiati.org/countries/NE/,True
NE-DGI,,,NE,https://www.impots.gouv.ne/index.php/formalites/gestion-d-entreprise-nif/creation-d-entreprise-nif,False
NF-COA,,,NF,https://gov-id-finder.codeforiati.org/countries/NF/,False
NG-BPP,,,NG,http://federalcontractors.bpp.gov.ng/,True
NG-CAC,,,NG,http://new.cac.gov.ng/home/,False
NG-COA,,,NG,https://gov-id-finder.codeforiati.org/countries/NG/,False
NG-TIN,,,NG,https://apps.firs.gov.ng/tinverification/,True
NI-COA,,,NI,https://gov-id-finder.codeforiati.org/countries/NI/,True
NL-COA,,,NL,https://gov-id-finder.codeforiati.org/countries/NL/,False
